"respid","LOCALRATING","COMATTACH","INFLUENCE","LOCMED_INTOUCH","NEWS_LEVELa","NEWS_LEVELb","NEWS_LEVELc","NEWS_LEVELd","LOCNEWSWEBa","LOCNEWSWEBb","NEWSALERTS","LOCAL_PREFER","PROVIDERa","PROVIDERb","PROVIDERc","PROVIDERd","PROVIDERe","PROVIDERf","PROVIDERg","PROVIDERh","PROVIDERi","PROV_PLATFORMa","PROV_PLATFORMb","PROV_PLATFORMc","PROV_PLATFORMd","PROV_PLATFORMe","PROV_PLATFORMf","PROV_PLATFORMg","PROV_PLATFORMh","PROV_PLATFORMi","PROV_PEOPLE1","PROV_PEOPLE2","LOCNEWS_COVERAGE1","ROLEVALUES1","ROLEVALUES2","JOBVALUESa","JOBVALUESb","JOBVALUESc","JOBVALUESd","JOBVALUESe","JOBVALUESf","JOBVALUESg","MAIN_CONF","TOPICIMPORTa","TOPICIMPORTb","TOPICIMPORTc","TOPICIMPORTd","TOPICIMPORTe","TOPICIMPORTf","TOPICIMPORTg","TOPICIMPORTh","TOPICIMPORTi","TOPICIMPORTj","TOPICIMPORTk","TOPICINFOa","TOPICINFOb","TOPICINFOc","TOPICINFOd","TOPICINFOe","TOPICINFOf","TOPICINFOg","TOPICINFOh","TOPICINFOi","TOPICINFOj","TOPICINFOk","NEWSCONTRIB","INTERNET_IMPT","SOCMEDIA_IMPT","SOCMEDIA_ATTN","DIG_FEATURESa","DIG_FEATURESb","DIG_FEATURESc","DIG_FEATURESd","DIG_FEATURESe","DIG_FEATURESg","LOCAL_DEVICE","LOCALMEDIA_JOB","ROLECONNECTEDa","ROLECONNECTEDc","ROLECONNECTEDd","TALKJOUR","LOCALOPINIONS","LOCALACTIVITYa","LOCALACTIVITYb","LOCALACTIVITYc","LOCALACTIVITYd","LOCALACTIVITYf","FINANCE","LOCAL_NEWS_PAY","LOCAL_NEWS_DONT_PAY","LOCALGROUPSa","LOCALGROUPSb","LOCALGROUPSc","LOCALGROUPSd","LOCALGROUPSf","LOCALGROUPSg","LOCALGROUPSh","LOCALGROUPSi","F_METRO","F_CREGION","F_USR_SELFID","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_RACETHN","F_MARITAL","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_ACSWEB","F_VOLSUM","LOCAL_AREA","WEIGHT"
11,1,3,1,1,3,2,1,3,2,4,1,5,1,3,2,4,2,3,4,4,4,1,2,1,NA,1,1,NA,NA,NA,3,2,2,5,7,2,1,1,1,1,1,1,1,2,3,1,3,2,3,1,2,3,3,1,1,2,1,3,2,2,1,3,3,3,1,2,2,NA,NA,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,99,1,2,2,2,2,1,6,1,1,1,NA,1,9,1,2,1,1,"33460",0.5694650742
12,1,1,2,1,3,2,2,2,1,4,2,1,3,4,1,3,1,4,3,2,99,1,NA,1,1,1,NA,99,2,NA,1,2,2,99,99,99,99,99,99,1,99,1,2,2,2,2,4,3,2,4,2,2,2,2,2,2,1,NA,1,2,NA,1,1,2,3,2,1,NA,NA,2,2,2,2,1,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,99,1,4,2,2,2,2,4,1,1,4,1,1,8,1,1,1,2,"38060",0.6762450647
13,1,2,1,2,3,2,1,1,2,4,2,3,1,3,4,3,4,4,4,4,4,1,1,NA,1,NA,NA,NA,NA,NA,4,NA,2,5,7,1,1,1,2,1,1,1,2,1,1,1,2,3,2,4,3,2,3,2,1,1,1,3,3,2,NA,2,3,2,1,2,3,NA,NA,2,1,2,1,2,2,1,2,2,1,4,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,3,1,2,4,1,1,1,NA,1,4,2,3,1,2,"00006",2.6421516181
14,2,3,2,1,3,2,4,4,2,2,2,4,4,4,4,3,4,3,3,3,4,NA,NA,NA,1,NA,4,4,2,NA,4,NA,2,5,1,2,1,1,2,2,1,2,3,2,2,2,2,3,2,4,3,2,4,4,2,2,1,2,2,2,NA,2,2,NA,NA,2,1,2,2,1,1,1,2,1,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2,1,3,2,3,1,2,3,1,3,1,NA,1,5,2,3,1,1,"00005",0.9842338844
15,3,3,2,2,4,4,3,3,4,4,2,3,3,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,7,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,3,1,6,4,99,9,2,3,3,1,2,"17140",1.9894733316
16,1,2,2,2,1,2,3,2,1,1,2,5,3,1,2,4,4,3,4,4,4,1,2,1,NA,NA,2,NA,NA,NA,3,2,2,3,4,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,4,2,4,2,2,3,2,2,3,2,3,NA,2,NA,2,2,2,3,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1,2,2,2,1,2,1,NA,2,2,2,1,2,1,2,2,1,4,2,4,1,1,5,1,1,3,1,1,8,1,1,1,1,"40900",0.3548822154
17,2,3,2,2,2,2,2,2,2,3,2,5,1,4,4,2,4,3,2,4,99,1,NA,NA,1,NA,99,3,NA,NA,2,1,1,7,6,2,1,1,1,2,1,1,1,2,2,1,2,3,2,3,2,3,3,1,1,1,1,1,2,1,2,2,2,2,2,2,2,99,1,2,2,1,1,1,2,1,2,2,2,3,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,99,1,1,1,3,2,3,2,1,3,1,NA,1,3,3,1,1,2,"37980",1.3926725823
18,1,1,1,1,2,1,1,1,2,4,2,1,1,1,1,1,1,1,1,99,1,1,1,2,1,1,1,1,NA,1,2,1,1,5,6,1,1,1,1,1,1,1,2,1,2,1,1,3,1,4,2,1,3,3,2,2,1,2,2,1,NA,3,1,3,3,2,2,NA,NA,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,3,1,NA,1,1,2,2,2,1,2,2,1,1,1,3,2,1,6,1,6,2,NA,2,6,2,1,0,2,"35620",0.9939294126
19,1,1,2,1,3,3,2,2,1,1,2,1,2,2,3,3,1,2,2,2,2,1,1,99,3,1,4,2,2,2,2,2,1,1,5,1,1,1,1,1,1,1,2,2,2,2,1,2,3,3,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,3,1,NA,2,1,2,2,2,2,1,1,2,3,2,4,2,2,3,1,1,1,NA,1,9,1,1,1,1,"00006",0.4002094656
20,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,2,2,3,1,4,3,1,3,3,3,4,1,2,NA,1,3,1,1,6,1,1,1,1,1,1,1,2,2,2,1,2,2,1,3,3,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,2,1,2,1,3,2,1,5,1,6,3,2,2,7,1,1,1,2,"17140",0.4533111512
